id,acronym,status,title,startDate,endDate,totalCost,ecMaxContribution,legalBasis,topics,ecSignatureDate,masterCall,subCall,fundingScheme,objective,contentUpdateDate,grantDoi,description,destinationTitles,taxonomyObjective
101074235,IndTech 2022,SIGNED,EUROPEAN EVENT ON INDUSTRIAL TECHNOLOGIES - INDTECH 2022,2022-03-01 00:00:00,2022-11-30 00:00:00,694375,100000,HORIZON.2.4,HORIZON-CL4-2021-CONF-1-IBA,2022-03-14 00:00:00,HORIZON-CL4-2021-CONF-1-IBA,HORIZON-CL4-2021-CONF-1-IBA,HORIZON-AG,"The European Industry is currently facing growing number of challenges and the status quo is not acceptable as a sustainable solution. The two main trends of Green and Digital transformation is a strategic call for action for all individual companies, but more and more also between them. The trends of shortening of value chains not only from technological and data-use point of view, but also from de-internationalization perspective became very urgent as recovery measures after the Covid-19 pandemics and will be considered as a potential driver for future resilience building strategies. At the same time, the existing workforce will need to accept and adopt the proposed changes as a new opportunity for sustainable growth, which shall be supported by development of new skills and largely available re-skilling. These and other aspects will be promoted and opinions from industrial leaders collected at the next pan-European conference on Industrial Technologies in Grenoble 2022, France. The feedback will be provided for further policy work on European, national and regional level.",2022-09-04 12:49:09,10.3030/101074235,,,"manufacturing technologies,key digital technologies including quantum technologies,advanced materials,artificial intelligence,advanced computing and big data"
101070052,TANGO,SIGNED,Digital Technologies ActiNg as a Gatekeeper to information and data flOws,2022-09-01 00:00:00,2025-08-31 00:00:00,"10444121,01",10444121,HORIZON.2.4,HORIZON-CL4-2021-DATA-01-01,2022-06-20 00:00:00,HORIZON-CL4-2021-DATA-01,HORIZON-CL4-2021-DATA-01,HORIZON-RIA,"TANGO will establish a stronger cross-sector data sharing, in a citizen-centric, secure and trustworthy manner, by developing innovative solutions while addressing environmental degradation and climate change challenges. The overall outcome is a novel platform exhibiting the following capabilities: user-friendly, secure, trustworthy, compliant, fair, transparent, accountable and environmentally sustainable data management, having at its core technology components for distributed, privacy preserving and environmentally sustainable data collection, processing, analysis, sharing and storage. This platform will promote trustworthy and digitally enabled interactions across society, for people as well as for businesses. TANGO will leverage the power of emerging digital technologies to strengthen the privacy for citizens and private/public organisations, reduce costs and improve productivity. It will unlock the innovation potential of digital technologies for decentralised, privacy-preserving applications, while making accessible and demonstrating this potential within the GAIA-X and EOSC ecosystem. With 37 key partners from 13 countries, TANGO, is uniquely positioned to provide a high impact solution within the transport, e-commerce, finance, public administration, tourism and industrial domains supporting numerous beneficiaries across Europe.Through the provision of TANGO technologies, a trustworthy environment will be designed acting as a gatekeeper to information and data flows. Citizens and public/private organisations will be empowered to act and interact providing data both online and offline. TANGO will focus its activities on 3 main pillars: (i) the deployment of trustworthy, accountable and privacy-preserving data-sharing technologies and platforms; (ii) the creation of data governance models and frameworks; (iii) the improvement of data availability, quality and interoperability â€“ both in domain-specific settings and across sectors.",2022-09-13 17:47:58,10.3030/101070052,"Technologies and solutions for compliance, privacy preservation, green and responsible data operations (AI, Data and Robotics Partnership) (RIA)",World-leading Data and Computing Technologies,"advanced materials,artificial intelligence,next generation internet,blockchain"
101070214,TRUSTEE,SIGNED,TRUST AND PRIVACY PRESERVING COMPUTING PLATFORM FOR CROSS-BORDER FEDERATION OF DATA,2022-07-01 00:00:00,2025-12-31 00:00:00,"8706263,75",8706263,HORIZON.2.4,HORIZON-CL4-2021-DATA-01-01,2022-06-21 00:00:00,HORIZON-CL4-2021-DATA-01,HORIZON-CL4-2021-DATA-01,HORIZON-RIA,"As we live in a data-driven era, the emergence of interdisciplinary, geographically dispersed, data repositories, is inevitable. The fact that these repositories do not necessarily abide with existing interdisciplinary data representation standards, nor do they necessarily belong to any data federation initiative, renders them unusable, since researchers cannot easily access this data. Moreover, most of the times, integrity, privacy, and security in such interactions is either very difficult, or impossible to maintain. Towards this end, TRUSTEE aims to bring a green, secure, trustworthy, and privacy-aware framework that will aggregate various interdisciplinary data repositories, such as Healthcare, Education, Energy, Space, Automotive, Cross-border etc. and also consider other European data federation spaces and trans-national initiatives, such as Gaia-X and EOSC. TRUSTEE will offer a secure-by-design framework, wherein stored data is homomorphically encrypted, thus offering researchers i) ability to search and use data in the encrypted domain, ii) a unified and meaningful FAIR representation of data, in an open and fair manner, iii) complex and context-aware queries through advanced ontologies, iv) data processing and analysis through transparent trustworthy ML workflows, over an intuitive AI playground, which will promote AI eXplainability, interoperability, and re-usability, by utilizing state of the art methods and paradigms, v) compliance with European privacy and ethical frameworks, e.g., GDPR, PIA, etc., vi) enforce privacy by applying a Homomorphic encryption layer, through which all data interaction will take place, vii) a blockchain-based transaction recorder to ensure accountability. TRUSTEE's fully encrypted solution will be validated through six different use cases supporting GAIA-X, EOSC, EGI, etc.  demonstrating a multi-disciplinary, Pan-European federated FAIR and private data ecosystem.",2023-04-05 13:37:52,10.3030/101070214,"Technologies and solutions for compliance, privacy preservation, green and responsible data operations (AI, Data and Robotics Partnership) (RIA)",World-leading Data and Computing Technologies,"advanced computing and big data,blockchain,artificial intelligence,space including earth observation"
101070030,OpenContinuum,SIGNED,An Open Ecosystem for European strategic autonomy and interoperability across the computing continuum industry,2022-09-01 00:00:00,2024-08-31 00:00:00,1489750,1489750,HORIZON.2.4,HORIZON-CL4-2021-DATA-01-07,2022-05-17 00:00:00,HORIZON-CL4-2021-DATA-01,HORIZON-CL4-2021-DATA-01,CSA,"OpenContinuum addresses the coordination and support of the Cloud-Edge-IoT domain, with a specific thematic focus on the supply-side of the computing continuum landscape.An integrated, open ecosystem built around Open Source, Open Standards, and the effective blending of the two vibrant European communities of Cloud Computing and Internet of Things (IoT) is the key enabler for European prosperity in the Cloud-Edge-IoT domain and more widely in the data economy. Therefore the core ambition of OpenContinuum is fostering European strategic autonomy and interoperability through an open ecosystem for the computing continuum. Such an ecosystem will contain the research and innovation projects in the Cloud-Edge-IoT portfolio to be coordinated, the diverse community evolved from the current Cloud and IoT ones, with the addition of further actors, initiatives, and alliances of significance. The supply-side nature of OpenContinuum's agenda will orient the themes and focus of the project activities, but will not limit the scope of the community building. The active landscaping and engagement work of the project will be key to bring the Cloud and IoT communities together and to express all points of view with a common language and understanding. OpenContinuum will then provide strong guidance and support to European computing continuum actors to contribute to and lead open-source projects and standardisation efforts.Key project contributions to the relevant expected outcomes include: a baseline common open architecture for computing continuum research projects, reinforced collaboration between European public and private initiatives from Cloud to edge to IoT, and increased awareness on the importance of Open Source and standards for EU digital autonomy. These contributions, arising from project results, will evolve further towards larger-scale impacts and strategic objectives for European technological, economic, and societal advancement.",2022-08-05 17:03:38,10.3030/101070030,Coordination and Support of the ‘Cloud-Edge-IoT’ domain (CSA),World-leading Data and Computing Technologies,"advanced computing and big data,artificial intelligence,next generation internet,blockchain,IoT"
101070571,UNLOCK-CEI,SIGNED,Unlocking the Cloud Edge IoT demand potential in Europe,2022-06-01 00:00:00,2024-11-30 00:00:00,1499750,1499750,HORIZON.2.4,HORIZON-CL4-2021-DATA-01-07,2022-05-24 00:00:00,HORIZON-CL4-2021-DATA-01,HORIZON-CL4-2021-DATA-01,HORIZON-CSA,"UNLOCK CEIâ€™s ambition is to UNLOCK the potential for accelerating the deployment of the Cloud-to-Edge-IoT (CEI) computing continuum in Europe by focusing on the demand-side drivers and challenges to identify technology-driven innovation and business opportunities driving demand value chains. The project represents the CEI demand constituency; provide insights and guidance to the Horizon Europe R&D projects in this domain; and contribute to a proactive dialogue with the supply stakeholders to encourage the development of an open European CEI ecosystem. It focuses on emerging value chains where investment is needed to foster the deployment of the Cloud-to-Edge-IoT continuum through the forthcoming CEI large scale pilots. This will ultimately foster European autonomy in the digital economy.  The workplan is designed to provide early results to feed into the development of the HE Work Programme in 2023-24 based on the ongoing dialogue with the stakeholder ecosystem. The project pays specific attention to data governance issues, leveraging the relationship with industry-driven initiatives such as Gaia-X and CCAM (Connected, Co-operative & Automated Mobility) partnership. UNLOCK carries out a systematic assessment of the state of the open European CEI ecosystem and develop future market scenarios and related market pathways for the development of the open European CEI ecosystem. It will engage with industry stakeholders representing the most relevant industry value chains in Europe for CEI potential demand and develops a productive and effective interface between the demand constituency and the supply side, including the coordination of HE projects resulting from CL4-2021-DATA-01-05, CL4-2022-DATA-01-02, and CL4-2022-DATA-01-03 and Cluster 3 cybersecurity projects. It finally designs and implement a coordinated communication and dissemination strategy running throughout the lifetime of the project to create awareness about the whole of the European demand-side landscape.",2022-08-12 16:22:16,10.3030/101070571,Coordination and Support of the ‘Cloud-Edge-IoT’ domain (CSA),World-leading Data and Computing Technologies,"advanced computing and big data,artificial intelligence,internet,5g,IoT"
101070074,SEDIMARK,SIGNED,SEcure Decentralised Intelligent Data MARKetplace,2022-10-01 00:00:00,2025-09-30 00:00:00,5250985,"4396835,5",HORIZON.2.4,HORIZON-CL4-2021-DATA-01-03,2022-06-15 00:00:00,HORIZON-CL4-2021-DATA-01,HORIZON-CL4-2021-DATA-01,HORIZON-IA,"The EU data economy has grown tremendously, with forecasts predicting to reach 800Billion Euros in 2025. Data are becoming the new currency, being exchanged as products or services in marketplaces. Data markets are predicted to reach a size of 100Billion Euros in 2025. Existing data marketplaces are centralised, store the data on the cloud, provide limited to no guarantees about data quality and they are governed by single entities that make the rules. SEDIMARK merges the expertise of a large team of experts to build a secure, trusted and intelligent decentralised data and services marketplace, based on Distributed Ledger Technology and Artificial Intelligence. SEDIMARK enables distributed heterogeneous data within the EU to be easily and seamlessly linked, shared and exploited for diverse business and research scenarios. SEDIMARK builds upon the concept of FAIR data, ensuring that data are of the highest quality, unbiased, enriched and annotated, so that they can be discovered, accessed, and easily reused. SEDIMARK includes a distributed registry of resources (data/services) stored on edge systems, close to where they are generated and where the data are cleaned, labelled, validated and anonymised. Security is applied with strong access control, privacy techniques for data minimisation and purpose limitation, exploiting blockchain for enforcing trust, decentralised identities, and data verification. Energy efficient AI techniques will be used for automated data quality management, labelling and classification of data as well as for providing (distributed) analytics and advanced services on top of the data. Semantic interoperability based on common ontologies and data models will allow the easy and efficient discovery, sharing and federation of heterogeneous data from multiple sources. The system is built on top of existing platforms of the consortium, starting from TRL5 and will be tested and demonstrated in four real world scenarios, reaching TRL-8.",2023-03-10 22:30:31,10.3030/101070074,"Technologies for data management (AI, Data and Robotics Partnership) (IA)",World-leading Data and Computing Technologies,"artificial intelligence,blockchain,advanced computing and big data,extended reality,5g"
101070177,ICOS,SIGNED,Towards a functional continuum operating system,2022-09-01 00:00:00,2025-08-31 00:00:00,10997675,10997675,HORIZON.2.4,HORIZON-CL4-2021-DATA-01-05,2022-06-21 00:00:00,HORIZON-CL4-2021-DATA-01,HORIZON-CL4-2021-DATA-01,HORIZON-RIA,"The unstoppable proliferation of novel computing and sensing device technologies, and the ever-growing demand for data-intensive applications in the edge and cloud, are driving a paradigm shift in computing around dynamic, intelligent and yet seamless interconnection of IoT, edge and cloud resources, in one single computing system to form a continuum. Many research initiatives have focused on deploying a sort of management plane intended to properly manage the continuum. Simultaneously, several solutions exist aimed at managing edge and cloud systems through not suitably addressing the whole continuum challenges though. The next step is, with no doubt, the design of an extended, open, secure, trustable, adaptable, technology agnostic and much more complete management strategy, covering the full continuum, i.e. IoT-to-edge-to-cloud, with a clear focus on the network connecting the whole stack, leveraging off-the-shell technologies (e.g., AI, data, etc.), but also open to accommodate novel services as technology progress goes on. The ICOS project aims at covering the set of challenges coming up when addressing this continuum paradigm, proposing an approach embedding a well-defined set of functionalities, ending up in the definition of an IoT2cloud Operating System (ICOS). Indeed, the main objective of the project ICOS is to design, develop and validate a meta operating system for a continuum, by addressing the challenges of: i) devices volatility and heterogeneity, continuum infrastructure virtualization and diverse network connectivity; ii) optimized and scalable service execution and performance, as well as resources consumptions, including power consumption; iii) guaranteed trust, security and privacy, and; iv) reduction of integration costs and effective mitigation of cloud provider lock-in effects, in a data-driven system built upon the principles of openness, adaptability, data sharing and a future edge market scenario for services and data.",2022-08-23 21:34:25,10.3030/101070177,Future European platforms for the Edge: Meta Operating Systems (RIA),World-leading Data and Computing Technologies,"advanced computing and big data,artificial intelligence,next generation internet,IoT"
101069732,aerOS,SIGNED,"Autonomous, scalablE, tRustworthy, intelligent European meta Operating System for the IoT edge-cloud continuum",2022-09-01 00:00:00,2025-08-31 00:00:00,"11828857,51","11828857,5",HORIZON.2.4,HORIZON-CL4-2021-DATA-01-05,2022-06-20 00:00:00,HORIZON-CL4-2021-DATA-01,HORIZON-CL4-2021-DATA-01,HORIZON-RIA,"The project aerOS aims at transparently utilising the resources on the edge-to-cloud computing continuum for enabling applications in aneffective manner, incorporating multiple services deployed on such a path. Therefore, aerOS will establish the missing piece: a commonmeta operating system that follows a collaborative IoT-edgeâ€“cloud architecture supporting flexible deployments (e.g., federated orhierarchical), bringing tremendous benefits as it enables the distribution of intelligence and computation â€“ including Artificial Intelligence(AI), Machine Learning (ML), and big data analytics â€“ to achieve an optimal solution while satisfying the given constraints.The overarching goal of aerOS is to design and build a virtualized, platform-agnostic meta operating system for the IoT edge-cloud continuum. As a solution, to be executed on any Infrastructure Element within the IoT edge-cloud continuum â€“ hence, independent from underlying hardware and operating system(s) â€“ aerOS will: (i) deliver common virtualized services to enable orchestration, virtual communication (network-related programmable functions), and efficient support for frugal, explainable AI and creation of distributed data-driven applications; (ii) expose an API to be available anywhere and anytime (location-time independent), flexible, resilient and platform-agnostic; and (iii) include a set of infrastructural services and features addressing cybersecurity, trustworthiness and manageability. aerOS will: (a) use context-awareness to distribute software task (application) execution requests; (b) support intelligence as close to the events as possible; (c) support execution of services using â€œabstract resourcesâ€ (e.g., virtual machines, containers) connected through a smart network infrastructure; (d) allocate and orchestrate abstract resources, responsible for executing service chain(s) and (e) support for scalable data autonomy.",2022-09-15 11:55:44,10.3030/101069732,Future European platforms for the Edge: Meta Operating Systems (RIA),World-leading Data and Computing Technologies,"artificial intelligence,advanced computing and big data,IoT"
101070516,NebulOus,SIGNED,A META OPERATING SYSTEM FOR BROKERING HYPER-DISTRIBUTED APPLICATIONS ON CLOUD COMPUTING CONTINUUMS,2022-09-01 00:00:00,2025-08-31 00:00:00,"8478106,25",8478106,HORIZON.2.4,HORIZON-CL4-2021-DATA-01-05,2022-06-13 00:00:00,HORIZON-CL4-2021-DATA-01,HORIZON-CL4-2021-DATA-01,HORIZON-RIA,"NebulOus will accomplish substantial research contributions in the realms of cloud and fog computing brokerage by introducing advanced methods and tools for enabling secure and optimal application provisioning and reconfiguration over the cloud computing continuum. NebulOus will develop a novel Meta Operating System and platform for enabling transient fog brokerage ecosystems that seamlessly exploit edge and fog nodes, in conjunction with multi-cloud resources, to cope with the requirements posed by low latency applications. The envisaged BRONCO solution includes the following main directions of work: i.Development of appropriate modelling methods and tools for describing the cloud computing continuum, application requirements, and data streams; these methods and tools will be used for assuring the QoS of the provisioned brokered services. ii.Efficient comparison of available offerings, using appropriate multi-criteria decision-making methods that are able to consider all dimensions of consumer requirements. iii.Intelligent applications, workflows and data streams management in the cloud computing continuum.iv.Addressing in a unified manner the security aspects emerging in of transient cloud computing continuums (e.g., access control, secure network overlay etc.). v.Conducting and monitoring smart contracts-based service level agreements.",2022-08-12 16:24:35,10.3030/101070516,Future European platforms for the Edge: Meta Operating Systems (RIA),World-leading Data and Computing Technologies,"advanced computing and big data,artificial intelligence,next generation internet,blockchain"
101070141,GLACIATION,SIGNED,Green responsibLe privACy preservIng dAta operaTIONs,2022-10-01 00:00:00,2025-09-30 00:00:00,"8256913,75","8256913,75",HORIZON.2.4,HORIZON-CL4-2021-DATA-01-01,2022-06-14 00:00:00,HORIZON-CL4-2021-DATA-01,HORIZON-CL4-2021-DATA-01,HORIZON-RIA,"From edge to cloud, big data analytics is growing fast, and its energy consumption has become a reason of concern for national grids and they generate significant carbon emissions. The GLACIATION project aims to address this issue through energy-efficient data operations.â€¯By developing a novel Distributed Knowledge Graph (DKG) that stretches across the edge-core-cloud architecture, reduction in the energy consumption for data processing will be achieved through AI enforced minimal data movement operations. GLACIATION will achieve significant power consumption reduction through optimizing the location where analytics are carried out. The projects Meta Data framework will provide tools that incorporate privacy and trust aspects in the data operations. GLACIATION is demonstrated on three relevant industry settings which benefit from optimized data movement and power consumption reduction. More specifically, GLACIATION use cases cover public-service, manufacturing, and enterprise data analytics.â€¯â€¯",2023-04-05 13:35:34,10.3030/101070141,"Technologies and solutions for compliance, privacy preservation, green and responsible data operations (AI, Data and Robotics Partnership) (RIA)",World-leading Data and Computing Technologies,"advanced computing and big data,artificial intelligence,data analytics"
