destinationTitles,taxonomyObjective,count,ecMaxContribution
A Human-Centred and Ethical Development of Digital and Industrial Technologies,5G & 6G,3,6827268
A Human-Centred and Ethical Development of Digital and Industrial Technologies,advanced computing and big data,27,122553793
A Human-Centred and Ethical Development of Digital and Industrial Technologies,artificial intelligence,38,197069077
A Human-Centred and Ethical Development of Digital and Industrial Technologies,blockchain,11,52277738
A Human-Centred and Ethical Development of Digital and Industrial Technologies,metaverse,3,15625886
A Human-Centred and Ethical Development of Digital and Industrial Technologies,next generation internet,17,87031520
A Human-Centred and Ethical Development of Digital and Industrial Technologies,quantum technologies,2,2999375
A Human-Centred and Ethical Development of Digital and Industrial Technologies,robotics,8,48821278
A Human-Centred and Ethical Development of Digital and Industrial Technologies,space including earth observation,5,20599370
A Human-Centred and Ethical Development of Digital and Industrial Technologies,virtual reality,24,133505335
"Climate Neutral, Circular and Digitised Production",5G & 6G,4,33243588
"Climate Neutral, Circular and Digitised Production",IoT,5,38956194
"Climate Neutral, Circular and Digitised Production",advanced computing and big data,27,199830401
"Climate Neutral, Circular and Digitised Production",artificial intelligence,39,288176892
"Climate Neutral, Circular and Digitised Production",blockchain,4,24883886
"Climate Neutral, Circular and Digitised Production",emerging enabling technologies,1,5475680
"Climate Neutral, Circular and Digitised Production",metaverse,2,14266686
"Climate Neutral, Circular and Digitised Production",next generation internet,1,6091958
"Climate Neutral, Circular and Digitised Production",quantum technologies,2,12093803
"Climate Neutral, Circular and Digitised Production",robotics,19,132304538
"Climate Neutral, Circular and Digitised Production",space including earth observation,4,28647070
"Climate Neutral, Circular and Digitised Production",virtual reality,11,75106475
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,5G & 6G,9,49296691
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,IoT,4,17526457
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,advanced computing and big data,33,148805518
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,artificial intelligence,39,173706552
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,blockchain,2,4579250
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,emerging enabling technologies,14,53345389
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,next generation internet,3,12873995
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,quantum technologies,15,50463598
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,robotics,20,90275253
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,space including earth observation,9,41223525
Digital & Emerging Technologies for Competitiveness and Fit for the Green Deal,virtual reality,3,9987600
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",5G & 6G,4,15698427
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",IoT,6,27448992
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",advanced computing and big data,12,78092349
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",artificial intelligence,28,152639128
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",blockchain,6,32221850
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",emerging enabling technologies,6,31957561
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",next generation internet,1,6974419
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",policy,1,2291975
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",quantum technologies,1,4999916
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",robotics,7,44160134
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",space including earth observation,6,24499334
"Increased Autonomy in Key Strategic Value Chains for
Resilient Industry",virtual reality,2,6986150
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",5G & 6G,1,4328845
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",advanced computing and big data,5,14297586
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",artificial intelligence,9,47036366
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",emerging enabling technologies,1,39000000
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",quantum technologies,1,4328845
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",robotics,3,30301993
"Open Strategic Autonomy in Developing, Deploying and Using Global Space-Based Infrastructures, Services, Applications and Data",space including earth observation,25,119761754
World-leading Data and Computing Technologies,5G & 6G,10,55630731
World-leading Data and Computing Technologies,IoT,13,62578930
World-leading Data and Computing Technologies,advanced computing and big data,24,139596890
World-leading Data and Computing Technologies,artificial intelligence,26,161015562
World-leading Data and Computing Technologies,blockchain,7,48104715
World-leading Data and Computing Technologies,emerging enabling technologies,1,7987425
World-leading Data and Computing Technologies,next generation internet,12,70554563
World-leading Data and Computing Technologies,quantum technologies,1,8428875
World-leading Data and Computing Technologies,robotics,1,8999820
World-leading Data and Computing Technologies,space including earth observation,3,22703958
World-leading Data and Computing Technologies,virtual reality,4,27601861
