,Unnamed: 0,projectID,projectAcronym,organisationID,vatNumber,name,shortName,SME,activityType,street,postCode,city,country,nutsCode,geolocation,organizationURL,contactForm,contentUpdateDate,rcn,order,role,ecContribution,netEcContribution,totalCost,endOfParticipation,active,diffContribution,continent
0,17,101092339,Exploit4InnoMat,937257554,LT100005059212,UAB SOLI TEK R&D,UAB SOLI TEK R&D,True,PRC,MOKSLININKU G. 6A,LT-08412,Vilnius,LT,LT011,"54.751578,25.2649431454515",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/937257554/101092339,2023-01-07 18:10:58,2547439,23,participant,203000.0,203000.0,290000.0,False,,87000.0,EU
1,18,101092339,Exploit4InnoMat,942469364,GB176580184,TECH INSPIRE LTD,,True,PRC,"HAMILTON HOUSE, MABLEDON PLACE",WC1H 9BB,London,UK,UKI31,"51.4373605,0.0208502",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/942469364/101092339,2023-01-07 18:10:58,2506704,27,associatedPartner,,0.0,,False,,,EU
2,19,101092339,Exploit4InnoMat,983611914,EL094029552,UNI SYSTEMS SYSTIMATA PLIROFORIKIS MONOPROSOPI ANONYMI EMPORIKI ETAIRIA,UNI SYSTEMS INFORMATION TECHNOLOGY SYSTEMS COMMERCIAL S.M.S.A.,False,PRC,AL PANTOU STREET 19-23,176 71,Athina,EL,EL304,"38.2653828,21.7618384",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/983611914/101092339,2023-01-07 18:10:58,2968173,1,coordinator,644000.0,644000.0,920000.0,False,,276000.0,EU
3,20,101092339,Exploit4InnoMat,895894814,CY10398994R,Y.S. CYPRIOT CATALYSTS LIMITED,,True,PRC,ELEFTHRIAS 118,5380,Ammochostos,CY,CY000,"34.9823018,33.1451285",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/895894814/101092339,2023-01-07 18:10:58,1967598,15,participant,270375.0,270375.0,386250.0,False,,115875.0,AS
4,21,101092339,Exploit4InnoMat,909789482,IT04983000284,UNISMART - FONDAZIONE UNIVERSITA DEGLI STUDI DI PADOVA,UNISMART,False,OTH,VIA OTTO FEBBRAIO 1848 2,35122,Padova,IT,ITH36,"42.6384261,12.674297",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/909789482/101092339,2023-01-07 18:10:58,1953829,21,participant,256525.0,256525.0,256525.0,False,,0.0,EU
5,22,101092339,Exploit4InnoMat,983764495,EL094437210,DIADIKASIA BUSINESS CONSULTING SYMVOULOI EPICHEIRISEON AE,DIADIKASIA BUSINESS CONSULTANTS SA,True,PRC,KIFISSIAS AVE 296 & NAVARINOU 40 HALANDRI,15232,ATHINA,EL,EL301,"35.3664068,24.516279",https://www.diadikasia.gr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/983764495/101092339,2023-01-07 18:10:58,2211178,16,participant,368375.0,368375.0,526250.0,False,,157875.0,EU
6,23,101092339,Exploit4InnoMat,999978142,EL099793475,ETHNICON METSOVION POLYTECHNION,NATIONAL TECHNICAL UNIVERSITY OF ATHENS - NTUA,False,HES,HEROON POLYTECHNIOU 9 ZOGRAPHOU CAMPUS,157 80,ATHINA,EL,EL303,"38.9953683,21.9877132",http://www.ntua.gr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999978142/101092339,2023-01-07 18:10:58,1906106,3,participant,810625.0,810625.0,810625.0,False,,0.0,EU
7,24,101092339,Exploit4InnoMat,999685687,,BEIA CONSULT INTERNATIONAL SRL,BEIA,True,PRC,STREET POIANA NARCISELOR 12 1ST FLOOR APARTMENT 3 SECTOR 1,10158,Bucuresti,RO,RO321,"44.4361414,26.1027202",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999685687/101092339,2023-01-07 18:10:58,2099669,20,participant,236950.0,236950.0,338500.0,False,,101550.0,EU
8,25,101092339,Exploit4InnoMat,999500223,IT01638210748,CENTRO DI RICERCHE EUROPEO DI TECNOLOGIE DESIGN E MATERIALI,CETMA,False,REC,STRADA STATALE 7 APPIA KM 706+030 SNC,72100,Cittadella Della Ricerca Brindisi,IT,ITF44,"40.6395295,17.945526",http://www.cetma.it,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999500223/101092339,2023-01-07 18:10:58,1939600,17,participant,630000.0,630000.0,630000.0,False,,0.0,EU
9,26,101092339,Exploit4InnoMat,999995893,EL090101655,IDRYMA TECHNOLOGIAS KAI EREVNAS,FOUNDATION FOR RESEARCH AND TECHNOLOGYHELLAS,False,REC,N PLASTIRA STR 100,70013,Irakleio,EL,EL431,"35.335976,25.126581",http://www.forth.gr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999995893/101092339,2023-01-07 18:10:58,1906526,22,participant,420375.0,420375.0,420375.0,False,,0.0,EU
