,Unnamed: 0.1,Unnamed: 0,projectID,projectAcronym,organisationID,vatNumber,name,shortName,SME,activityType,street,postCode,city,country,nutsCode,geolocation,organizationURL,contactForm,contentUpdateDate,rcn,order,role,ecContribution,netEcContribution,totalCost,endOfParticipation,active,diffContribution,continent,taxonomyObjective,biggest_key
0,12,29,101092339,Exploit4InnoMat,910945140,,sintef,SINTEF,False,REC,STRINDVEGEN 4,7034,Trondheim,NO,NO060,"63.4134536,10.4089353",http://www.sintef.no,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/910945140/101092339,2023-01-07 18:10:58,1944981,2,participant,734875.0,734875.0,734875.0,False,,0.0,EU,"advanced materials,manufacturing technologies,artificial intelligence,robotics,circular industries,low carbon and clean industries,space including earth observation",sustainability
1,28,108,101080025,drOp,999604110,ESG48975767,fundacion tecnalia research & innovation,TECNALIA,False,REC,"PARQUE CIENTIFICO Y TECNOLOGICO DE GIPUZKOA, PASEO MIKELETEGI 2",20009,DONOSTIA-SAN SEBASTIAN (GIPUZKOA),ES,ES212,"43.2916949,-2.885882",http://www.tecnalia.com,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999604110/101080025,2022-09-04 12:38:11,1905767,3,participant,418125.0,418125.0,418125.0,False,,0.0,EU,"social innovation,advanced materials,artificial intelligence,extended reality,blockchain",sustainability
2,75,916,101138112,LITHOS,932760440,FI26473754,teknologian tutkimuskeskus vtt oy,VTT,False,REC,TEKNIIKANTIE 21,2150,Espoo,FI,FI1B1,"60.2051454,24.6569676",https://www.vtt.fi,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/932760440/101138112,2024-01-08 20:44:14,2104951,1,coordinator,1973418.0,1973418.0,1973418.0,False,,0.0,EU,"advanced materials,low carbon and clean industries,circular industries,manufacturing technologies",sustainability
3,82,923,101138112,LITHOS,999991334,BE0419052173,katholieke universiteit leuven,KU Leuven,False,HES,OUDE MARKT 13,3000,Leuven,BE,BE242,"50.8780592,4.699407640209",http://www.kuleuven.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999991334/101138112,2024-01-08 20:44:14,1905910,3,participant,1638937.5,1638937.5,1638937.5,False,,0.0,EU,"advanced materials,low carbon and clean industries,circular industries,manufacturing technologies",sustainability
4,85,943,101091682,METALLICO,932760440,FI26473754,teknologian tutkimuskeskus vtt oy,VTT,False,REC,TEKNIIKANTIE 21,2150,Espoo,FI,FI1B1,"60.2051454,24.6569676",https://www.vtt.fi,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/932760440/101091682,2022-12-11 19:04:25,2104951,5,participant,833033.0,833033.0,833033.0,False,,0.0,EU,"advanced materials,circular industries,low carbon and clean industries,manufacturing technologies",sustainability
5,86,944,101091682,METALLICO,999984059,DE129515865,fraunhofer gesellschaft zur forderung der angewandten forschung ev,Fraunhofer,False,REC,HANSASTRASSE 27C,80686,Munchen,DE,DE212,"48.1322664,11.5296222",http://www.fraunhofer.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999984059/101091682,2022-12-11 19:04:25,1905912,6,participant,505920.0,505920.0,505920.0,False,,0.0,EU,"advanced materials,circular industries,low carbon and clean industries,manufacturing technologies",advanced materials
6,113,980,101070441,LOLIPOP,999981149,BE0425260668,interuniversitair micro-electronica centrum,IMEC,False,REC,KAPELDREEF 75,3001,Leuven,BE,BE242,"50.866704049999996,4.677742878392847",http://www.imec.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999981149/101070441,2022-08-23 21:35:31,1905930,9,participant,555978.75,555978.75,555978.75,False,,0.0,EU,"emerging enabling technologies,advanced materials,artificial intelligence,advanced computing and big data",advanced materials
7,147,1061,101080173,CLUSTEC,999997930,FR40180089013,centre national de la recherche scientifique cnrs,CNRS,False,REC,RUE MICHEL ANGE 3,75794,Paris,FR,FR101,"48.84755265,2.26404020346787",http://www.cnrs.fr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999997930/101080173,2022-09-26 14:25:56,1905572,7,thirdParty,0.0,37868.75,37868.75,False,,0.0,EU,key digital technologies including quantum technologies,advanced materials
8,161,1077,101092080,MUSIC,999997930,FR40180089013,centre national de la recherche scientifique cnrs,CNRS,False,REC,RUE MICHEL ANGE 3,75794,Paris,FR,FR101,"48.84755265,2.26404020346787",http://www.cnrs.fr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999997930/101092080,2022-11-25 10:08:57,1905572,4,participant,729471.0,510320.0,729471.25,False,,219151.25,EU,"advanced materials,circular industries,low carbon and clean industries,manufacturing technologies,emerging enabling technologies",advanced materials
9,163,1138,101080086,NeQST,999984059,DE129515865,fraunhofer gesellschaft zur forderung der angewandten forschung ev,Fraunhofer,False,REC,HANSASTRASSE 27C,80686,Munchen,DE,DE212,"48.1322664,11.5296222",http://www.fraunhofer.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999984059/101080086,2022-09-04 12:39:11,1905912,5,participant,636317.5,636317.5,636317.5,False,,0.0,EU,key digital technologies including quantum technologies,advanced materials
